"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","19-Nov.-2018 9:54 pm","19-Nov.-2018 10:00 pm",""
"Diapering","Poo","19-Nov.-2018 9:53 pm","19-Nov.-2018 9:53 pm",""
"Diapering","Poo","19-Nov.-2018 7:54 pm","19-Nov.-2018 7:54 pm",""
"Diapering","Pee & Poo","19-Nov.-2018 7:45 pm","19-Nov.-2018 7:45 pm",""
"Feeding","Meal","19-Nov.-2018 6:40 pm","19-Nov.-2018 6:40 pm",""
"Diapering","Pee & Poo","19-Nov.-2018 5:30 pm","19-Nov.-2018 5:30 pm",""
"Feeding","Meal","19-Nov.-2018 5:00 pm","19-Nov.-2018 5:00 pm",""
"Diapering","Pee & Poo","19-Nov.-2018 4:44 pm","19-Nov.-2018 4:44 pm",""
"Sleep","","19-Nov.-2018 2:51 pm","19-Nov.-2018 4:19 pm",""
"Feeding","Left Breast","19-Nov.-2018 2:39 pm","19-Nov.-2018 2:50 pm",""
"Diapering","Pee","19-Nov.-2018 2:02 pm","19-Nov.-2018 2:02 pm",""
"Feeding","Meal","19-Nov.-2018 1:15 pm","19-Nov.-2018 1:15 pm",""
"Sleep","","19-Nov.-2018 11:08 am","19-Nov.-2018 11:58 am",""
"Feeding","Right Breast","19-Nov.-2018 10:58 am","19-Nov.-2018 11:06 am",""
"Diapering","Pee","19-Nov.-2018 10:51 am","19-Nov.-2018 10:51 am",""
"Feeding","Meal","19-Nov.-2018 9:45 am","19-Nov.-2018 9:45 am",""
"Sleep","","19-Nov.-2018 6:52 am","19-Nov.-2018 9:17 am",""
"Sleep","","19-Nov.-2018 2:17 am","19-Nov.-2018 6:51 am",""
"Feeding","Left Breast","19-Nov.-2018 2:09 am","19-Nov.-2018 2:16 am",""
"Sleep","","18-Nov.-2018 11:26 pm","19-Nov.-2018 2:05 am",""
"Feeding","Right Breast","18-Nov.-2018 11:10 pm","18-Nov.-2018 11:17 pm",""
"Diapering","Pee","18-Nov.-2018 11:00 pm","18-Nov.-2018 11:00 pm",""
"Diapering","Pee","18-Nov.-2018 9:29 pm","18-Nov.-2018 9:29 pm",""
"Feeding","Meal","18-Nov.-2018 9:03 pm","18-Nov.-2018 9:03 pm","banana custard "
"Leisure","Bath time","18-Nov.-2018 8:30 pm","18-Nov.-2018 8:55 pm",""
"Sleep","","18-Nov.-2018 7:23 pm","18-Nov.-2018 7:58 pm",""
